"report_name","anon_report_name","report_start","report_end","landarea_cultivated","landarea_grass","landarea_noncropping","emissions_category","section","ecid","input_quantity","input_units","input_description","total_emissions_tCO2e","total_sequestration_tCO2e","scope_1_tCO2e","scope_1_CO2_tCO2e","scope_1_biogenic_CO2_tCO2e","scope_1_mechanical_CO2_tCO2e","scope_1_CH4_tCO2e","scope_1_mechanical_CH4_tCO2e","scope_1_otherbiogenic_CH4_tCO2e","scope_1_enteric_CH4_tCO2e","scope_1_manure_CH4_tCO2e","scope_1_N2O_tCO2e","scope_1_direct_N2O_tCO2e","scope_1_indirect_volatilisation_N2O_tCO2e","scope_1_mechanical_N2O_tCO2e","scope_1_otherGHG_tCO2e","scope_2_tCO2e","scope_2_CO2_tCO2e","scope_2_CH4_tCO2e","scope_2_N2O_tCO2e","scope_2_otherGHG_tCO2e","scope_3_tCO2e","scope_3_CO2_tCO2e","scope_3_CH4_tCO2e","scope_3_N2O_tCO2e","scope_3_otherGHG_tCO2e","scope_4_tCO2e","kg_manure","emission_name","harvested_area","dry_matter_intake","livestock_bought","livestock_sold","slurry_%","farm_yard_manure_%","in_field_manure_%","spread_%","spreading_grassland_%","spreading_arable_%","animal_weight_kg","ko_%","wool_produced_kg","dairy_yield","milk_fat_%","milk_protein_%","eggs_produced"
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Operations & Contracting - Contractors red-diesel usage","fuels","fuel_00047",14,"Litres","0",0.0475,0,0.0386,0.0381,0,0,0,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0.0089,0,0,0,0.0089,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Agricultural crops - Wheat - Half of the wheat straw removed (Default)","crops","crop_00001",48,"Tonnes harvested",NA,1.7077,0,1.7077,0,0,0,0,0,0,0,0,1.7077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Agricultural crops - Barley - Half of the barley straw removed (Default)","crops","crop_00002",46.14,"Tonnes harvested",NA,2.044,0,2.044,0,0,0,0,0,0,0,0,2.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Agricultural crops - Barley - Half of the barley straw removed (Default)","crops","crop_00002",258,"Tonnes harvested",NA,11.4295,0,11.4295,0,0,0,0,0,0,0,0,11.4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Liquid fuels - Diesel - Red diesel (gas oil)","fuels","fuel_00016",306.5,"Litres","0",1.0393,0,0.8455,0.8351,0,0,0.0009,0,0,0,0,0.0095,0,0,0,0,0,0,0,0,0,0.1939,0,0,0,0.1939,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Operations & Contracting - Contracted operations (C.O) - Harvesting (C.O) - Combining (C.O)","fuels","fuel_00071",9.71,"Hectares (ha)","0",0.5071,0,0.4125,0.4074,0,0,0.0004,0,0,0,0,0.0047,0,0,0,0,0,0,0,0,0,0.0946,0,0,0,0.0946,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Agricultural crops - Fodder and Forage crops - Root forage crops (assuming most is consumed or removed)","crops","crop_00012",360,"Tonnes harvested",NA,7.6774,0,7.6774,0,0,0,0,0,0,0,0,7.6774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Agricultural crops - Fodder and Forage crops - Leafy forage crops (assuming most is consumed or removed)","crops","crop_00011",60,"Tonnes harvested",NA,1.4417,0,1.4417,0,0,0,0,0,0,0,0,1.4417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Fertilisers - Generic solid fertilisers (average) - Ammonium nitrate - granular (33.5% N)","inputs","inpu_00001",28.2,"Tonnes",NA,64.3157,0,32.1677,0,0,0,0,0,0,0,0,32.1677,0,0,0,0,0,0,0,0,0,32.148,0,0,0,32.148,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FNZ year 1","farm_1_2021","31/12/2019","31/12/2023",62,116,0,"Fertilisers - Custom blend solid fertiliser","inputs","inpu_00022",43.2,"Tonnes",NA,65.2402,0,31.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8162,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
